iq,cgpa,placement
107,6.19,0
98,6.63,0
110,6.28,0
123,7.13,1
96,8.44,0
96,6.07,0
124,8.2,1
112,6.06,1
93,5.98,0
108,7.98,1
93,8.11,1
93,8.02,1
104,5.42,0
71,6.44,0
74,7.99,1
92,7.05,0
85,5.71,0
105,7.55,0
86,6.14,0
79,9.15,1
122,8.85,1
97,7.72,1
101,8.63,1
79,7.08,0
92,7.92,0
102,8.77,1
83,7.29,1
106,6.69,0
91,4.95,0
96,6.9,0
91,7.99,1
128,8.13,1
100,7.61,0
84,6.35,0
112,4.63,0
82,6.41,0
103,6.63,1
71,6.62,0
80,7.74,1
103,9.38,1
111,7.15,1
103,6.74,0
98,6.69,0
95,7.15,0
78,6.01,0
89,7.14,1
93,7.54,0
116,7.25,1
105,7.55,1
74,7.52,0
105,4.87,0
94,7.76,1
90,6.19,0
109,5.68,0
115,5.67,0
114,7.52,1
87,6.73,0
95,4.98,0
105,7.57,1
115,5.27,0
93,7.17,1
97,7.29,0
83,8.06,0
82,9.14,1
112,5.36,0
120,6.94,0
99,6.67,1
115,7.52,1
105,7.26,1
90,6.58,0
105,6.47,1
123,5.66,1
99,8.19,1
123,7.55,1
70,8.1,0
112,6.63,1
101,6.21,1
96,5.71,0
101,7.43,1
70,5.75,0
97,9.22,1
105,5.43,0
122,7.33,0
92,8.88,1
88,7.72,1
92,7.21,0
114,5.84,0
105,5.34,0
92,7.92,1
108,8.81,1
101,6.47,0
115,5.63,0
89,4.05,0
95,5.82,0
94,6.86,1
78,8.92,1
104,7.81,1
104,7.37,1
100,6.52,0
96,6.3,0
79,8.69,0
94,7.24,0
95,4.48,0
88,6.19,0
98,5.97,0
106,6.34,0
128,7.68,1
103,6.87,1
104,6.91,1
99,8.58,1
71,6.16,0
100,9.24,1
101,6.19,0
137,7.11,1
97,6.66,0
105,7.15,1
99,7.53,1
82,7.52,0
117,6.1,1
111,5.65,0
112,10.0,1
86,6.42,0
121,7.84,1
79,5.07,0
109,6.66,1
133,6.85,1
85,7.57,1
92,4.0,0
101,7.2,1
92,5.62,0
77,7.39,1
101,5.76,1
84,5.97,0
107,6.67,0
86,5.74,0
123,6.43,1
88,5.57,0
95,4.8,0
112,8.22,1
82,5.44,0
103,6.79,1
120,7.9,1
76,6.26,0
103,6.01,0
104,7.27,1
112,8.34,1
81,5.6,0
80,6.82,0
108,4.92,0
104,6.53,0
104,7.04,0
105,5.97,0
90,6.45,1
103,5.31,0
104,7.09,1
89,8.27,1
128,5.68,0
107,6.25,0
82,7.6,0
110,8.45,1
85,5.21,0
112,6.8,0
117,7.34,1
88,6.88,0
114,4.03,0
106,7.6,1
112,8.82,1
128,7.14,1
96,5.76,0
89,6.38,0
87,9.12,1
88,8.09,1
99,7.77,1
105,7.43,1
